output_elec_id,array,original_elec_id_in_the_array
1,M,6
2,M,8
3,M,9
4,M,10
5,M,11
6,M,12
7,M,22
8,M,23
9,M,26
10,M,27
11,M,28
12,P,1
13,P,2
14,P,3
15,P,8
16,P,10
17,P,11
18,P,13
19,P,14
20,P,15
21,P,16
22,P,17
23,P,18
24,P,19
25,P,20
26,P,21
27,P,22
28,P,23
29,P,24
30,P,25
31,P,26
32,P,27
33,P,28
34,P,29
35,P,30
36,P,31
37,P,32
38,P,33
39,P,35
40,P,36
41,P,37
42,P,40
43,P,41
44,P,42
45,P,44
46,A,16
47,A,18
48,A,19
49,A,20
50,A,21
51,A,22
52,A,23
53,A,24
54,A,25
55,A,26
56,A,27
57,A,28
58,A,29
59,A,30
60,A,31
61,A,40
62,A,41
63,A,42
64,A,44
65,A,48
66,A,47
67,A,50
68,A,51
69,A,52
70,A,53
71,A,54
72,A,55
73,A,56
74,A,57
75,A,58
76,A,59
77,A,60
78,A,61
79,A,62
80,A,64
81,A,87
82,A,88
83,A,91
84,A,92
85,A,94
86,P,47
87,P,46
88,P,49
89,P,50
90,P,52
91,P,53
92,P,55
93,P,57
94,P,58
95,P,59
96,P,60
97,P,61
98,P,62
99,P,63
100,P,64
101,P,69
102,P,72
103,P,74
104,P,75
105,P,77
106,P,78
107,P,81
108,P,83
109,P,84
110,P,85
111,P,86
112,P,87
113,P,88
114,P,89
115,P,90
116,P,91
117,P,92
118,P,93
119,P,94
120,P,95
121,P,96
122,M,30
123,M,63
124,M,65
125,M,71
126,M,77
127,M,95
128,M,96
